name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
 Beyblade Burst,3DS,2016,Role-Playing,0.0,0.0,0.03,0.0,68.0,71.0,Pending,0.03,Nintendo,Portable console,pending
 Fire Emblem Fates,3DS,2015,Role-Playing,0.81,0.23,0.52,0.11,68.0,71.0,Pending,1.6700000000000002,Nintendo,Portable console,pending
 Frozen: Olaf's Quest,3DS,2013,Platform,0.27,0.27,0.0,0.05,68.0,71.0,Pending,0.5900000000000001,Nintendo,Portable console,pending
 Frozen: Olaf's Quest,DS,2013,Platform,0.21,0.26,0.0,0.04,66.0,74.0,Pending,0.51,Nintendo,Portable console,pending
 Haikyu!! Cross Team Match!,3DS,2016,Adventure,0.0,0.0,0.04,0.0,68.0,71.0,Pending,0.04,Nintendo,Portable console,pending
 Tales of Xillia 2,PS3,2012,Role-Playing,0.2,0.12,0.45,0.07,71.0,79.0,T,0.8400000000000001,Playstation,Home console,teen
'98 Koshien,PS,1998,Sports,0.15,0.1,0.12,0.03,73.5,83.0,Pending,0.4,Playstation,Home console,pending
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,0.0,0.0,0.17,0.0,70.0,80.0,Pending,0.17,Playstation,Home console,pending
.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,0.11,0.09,0.0,0.03,70.0,80.0,Pending,0.23,Playstation,Home console,pending
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,0.0,0.0,0.16,0.0,70.0,80.0,Pending,0.16,Playstation,Home console,pending
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,0.0,0.0,0.17,0.0,70.0,80.0,Pending,0.17,Playstation,Home console,pending
.hack//Infection Part 1,PS2,2002,Role-Playing,0.49,0.38,0.26,0.13,75.0,85.0,T,1.2599999999999998,Playstation,Home console,teen
.hack//Link,PSP,2010,Role-Playing,0.0,0.0,0.14,0.0,68.0,75.0,Pending,0.14,Playstation,Portable console,pending
.hack//Mutation Part 2,PS2,2002,Role-Playing,0.23,0.18,0.2,0.06,76.0,89.0,T,0.6700000000000002,Playstation,Home console,teen
.hack//Outbreak Part 3,PS2,2002,Role-Playing,0.14,0.11,0.17,0.04,70.0,87.0,T,0.46,Playstation,Home console,teen
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02,70.0,80.0,Pending,0.18,Playstation,Home console,pending
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,0.0,0.0,0.03,0.0,73.0,71.0,Pending,0.03,Playstation,Home console,pending
007 Racing,PS,2000,Racing,0.3,0.2,0.0,0.03,51.0,46.0,T,0.53,Playstation,Home console,teen
007: Quantum of Solace,DS,2008,Action,0.11,0.01,0.0,0.01,65.0,74.0,T,0.13,Nintendo,Portable console,teen
